# ALLOWED_MISMATCH 4
# MIN_MATCH_LENGTH 30
	ADRM1	AP2B1	ARL2	BCL2L2	BIK	BNIP3	BNIP3L	BRMS1	BTG1	CCL14	CCND2	CCND3	CDK4	CDK6	CDKN1A	CDKN2D	CEP55	CNOT7	CTBP1	DAPK1	DDX39A	DMRTB1	EIF4EBP2	EXOSC1	EXOSC5	FHL3	GAA	IGF2	IKZF1	IKZF5	KLF3	LSM2	LSM3	Lam	MME	MORF4L1	MRFAP1	MRFAP1L1	MTA1	NMI	OR10AG1	PCNA	PIAS1	PLEKHG7	PPID	PSMC1	PSMC2	PSMD2	PSMD5	QKI	RBBP4	RBBP8	RBFOX2	RBPMS	REEP2	RING1	RYBP	S100A1	S100B	S100P	SARNP	SH3GLB1	SH3GLB2	SNX32	STMN2	STX4	SUPT4H1	SUPT5H	TEX11	TOPBP1	TSG101	UBE2I	UCHL5	VAMP2	VAMP3	WDR7	largeT	p53
ADRM1	3	0	444	0	397	168	12	1885	757	0	1372	2716	506	656	1375	594	56	111	13	537	223	76	369	162	567	757	729	983	2	0	158	644	736	277	0	514	1315	1397	1404	299	1447	0	706	0	699	452	801	289	104	29	954	91	15	35	258	469	1355	53	29	235	2287	69	638	2334	772	24	1762	149	836	721	382	10	1	0	0	0	132	0
AP2B1	2	0	9	0	36	104	52	142	82	1	66	285	26	57	31	112	0	13	0	37	59	1	44	41	35	5	83	21	26	0	52	52	71	3	0	27	29	147	65	14	70	0	57	0	76	59	8	13	23	1	15	1	54	11	72	16	30	1	0	40	232	37	7	84	20	1	101	108	12	53	44	0	55	0	0	0	9	0
ARL2	259	0	3	0	207	96	19	870	234	61	500	542	271	258	709	327	19	139	0	221	53	56	306	157	328	401	331	412	8	0	79	461	261	28	0	170	458	472	389	87	742	0	220	0	253	412	607	56	136	12	253	0	10	9	271	78	385	3	80	260	1000	48	233	494	263	11	366	141	281	70	49	0	318	0	0	0	66	0
BCL2L2	420	0	380	17	113	102	7	563	682	49	944	1121	453	227	528	422	22	35	0	286	66	57	647	92	301	164	201	588	55	0	0	571	343	279	0	391	1112	613	417	82	1211	0	183	0	292	176	545	429	153	24	433	15	28	12	223	379	478	7	24	132	2152	28	362	772	335	0	1489	282	385	276	66	32	796	0	0	0	119	0
BIK	488	6	671	2	0	207	24	1493	524	45	629	1544	195	358	1083	429	30	61	0	352	62	51	346	34	421	802	273	512	23	0	77	355	357	56	6	265	597	759	445	136	1018	32	547	0	374	354	796	705	143	132	326	0	23	22	253	216	485	0	17	223	2203	12	465	1837	585	20	1231	125	384	373	122	1	764	0	0	0	351	0
BNIP3	318	0	687	0	206	1	109	1210	547	52	952	1908	482	498	539	330	0	47	0	407	45	34	334	142	365	321	187	409	0	0	0	972	430	44	0	305	623	728	815	124	1576	0	378	0	944	279	715	376	189	107	498	37	25	49	90	253	713	48	0	223	2335	61	246	1370	726	29	1831	106	376	602	103	26	1063	0	0	0	188	0
BNIP3L	388	3	774	0	352	89	0	1376	1035	72	1296	1379	476	567	1426	692	13	75	0	484	55	22	395	223	525	546	290	1047	0	0	147	876	598	104	0	402	924	806	529	176	1596	11	698	0	1058	450	1061	662	342	68	570	73	1	37	306	500	749	87	17	230	2073	27	571	1771	1121	26	2022	228	362	775	79	30	1073	0	0	0	133	0
BRMS1	557	0	596	0	336	135	18	82	1006	85	1229	1728	770	758	1314	518	13	39	0	912	81	39	470	173	645	462	358	1206	7	0	44	778	979	189	0	337	859	931	631	110	1546	9	586	0	665	532	1099	483	211	41	663	17	6	72	279	675	642	81	16	191	2558	13	705	1430	956	0	1126	162	386	457	210	1	1387	0	0	0	316	0
BTG1	150	0	374	0	165	55	37	1090	116	11	800	796	259	505	486	329	0	39	0	183	80	69	308	18	354	308	119	493	37	0	27	673	566	133	0	177	526	520	512	50	1301	0	499	0	547	764	512	359	169	42	630	3	27	89	209	96	272	0	9	148	1555	23	61	1248	508	7	635	96	313	366	169	36	218	0	0	0	96	0
CCL14	336	1	402	25	210	171	32	714	587	2	1227	968	328	200	1189	204	36	49	5	182	89	34	243	153	468	346	317	504	34	0	0	631	313	364	0	169	551	358	687	50	1648	0	668	0	473	534	391	354	109	85	377	2	0	47	112	132	498	45	0	112	1680	42	260	1180	749	3	1077	63	303	318	76	30	990	0	0	0	37	0
CCND2	737	10	986	0	326	137	109	1591	989	134	2	2335	584	183	897	673	19	293	0	417	389	203	574	370	752	1313	556	987	52	0	86	788	1466	516	15	426	1242	1684	771	335	1751	0	813	0	734	768	1405	371	506	140	1350	0	83	60	556	395	864	113	7	546	2407	275	798	1783	1302	38	2775	281	793	684	342	8	1162	0	0	0	76	0
CCND3	918	0	1110	0	406	341	55	2102	764	71	2031	22	945	187	937	741	50	223	0	486	249	152	417	221	1273	914	567	1476	69	0	67	847	1572	183	0	639	789	1282	894	260	1372	0	970	0	758	1002	1673	622	234	193	445	55	32	73	363	500	1286	54	32	396	2536	161	584	2216	1183	48	1843	308	538	586	328	32	1060	0	0	0	311	0
CDK4	322	0	198	0	213	191	19	956	188	2	845	860	2	323	193	0	7	202	1	120	99	115	311	104	264	667	182	353	0	0	35	223	552	100	0	226	415	717	418	115	226	0	237	0	244	518	360	169	41	60	272	0	46	70	271	74	312	40	42	205	726	26	662	558	373	0	472	130	407	94	134	10	314	0	0	0	49	0
CDK6	432	0	219	0	143	39	3	671	410	27	80	476	469	3	244	0	13	127	14	99	88	116	161	76	244	295	153	294	32	0	55	229	453	78	0	359	369	655	383	39	434	0	242	0	278	341	479	130	83	53	238	19	44	9	86	68	95	43	0	164	472	53	332	325	209	10	850	40	260	375	87	4	174	0	0	0	171	0
CDKN1A	572	0	444	0	234	55	0	1317	383	12	1291	1618	475	393	5	431	32	74	0	213	150	81	523	147	773	160	247	981	24	0	16	1167	863	31	0	397	1228	701	650	213	1128	2	601	0	462	427	1010	368	254	64	677	13	31	81	273	249	713	100	0	149	1647	34	505	1359	1022	6	1275	231	212	317	197	48	704	0	0	0	87	0
CDKN2D	848	0	421	0	377	341	121	780	482	57	302	1094	0	1	430	0	24	90	0	89	249	302	274	118	580	658	665	507	1	0	84	394	774	226	0	120	446	1067	496	252	680	28	345	0	141	225	697	171	193	170	384	0	2	77	201	178	315	80	19	322	697	158	673	577	428	41	642	306	440	62	324	13	332	0	0	0	20	0
CEP55	248	0	467	0	179	35	42	728	326	37	965	950	257	557	591	304	1	73	0	279	83	27	196	47	273	337	113	543	0	0	23	329	441	98	0	348	1061	388	665	62	1176	0	333	0	452	144	602	163	152	41	529	0	0	9	174	424	620	0	0	99	1308	13	219	590	431	0	1051	107	230	311	137	0	555	0	0	0	194	0
CNOT7	533	17	243	0	281	153	41	940	38	100	912	1379	541	698	398	351	56	3	0	125	155	11	526	51	596	446	246	966	22	0	46	808	625	185	0	307	386	1151	259	206	1380	0	216	0	499	719	667	164	261	108	445	17	0	41	208	122	293	59	33	219	2208	166	597	903	546	0	1453	263	509	179	270	22	842	0	0	0	52	0
CTBP1	162	14	108	0	151	132	4	434	115	1	147	299	185	181	265	183	6	82	0	25	118	44	101	92	324	243	260	546	16	0	131	124	365	62	0	179	248	785	332	61	303	0	100	0	183	160	301	43	9	24	191	52	10	29	185	25	131	14	0	58	398	14	310	357	157	0	215	58	67	37	87	0	131	0	38	0	26	0
DAPK1	229	0	131	0	144	155	12	1040	423	75	623	1053	304	432	742	304	0	101	0	0	158	39	126	100	382	265	349	538	0	0	67	329	197	196	0	270	599	330	418	174	869	0	461	0	683	412	778	333	143	35	441	0	11	32	176	345	590	26	9	95	1370	69	447	811	500	0	996	166	151	240	79	0	486	0	0	0	53	0
DDX39A	696	36	827	0	184	81	83	1631	807	92	1669	799	475	670	1007	386	14	287	0	585	6	139	362	93	553	676	417	543	34	0	36	672	685	187	0	579	977	801	1321	130	1359	29	535	0	729	425	1095	553	297	51	750	12	1	60	278	378	728	130	36	284	2859	26	610	1748	488	0	1321	229	180	525	149	2	1155	0	0	0	125	0
DMRTB1	72	12	100	0	70	52	12	221	23	11	108	192	196	225	21	2	0	15	0	23	74	0	98	35	187	202	67	136	0	0	7	108	284	12	12	65	322	249	193	52	81	15	77	0	79	50	73	6	39	23	96	19	27	28	96	69	117	0	2	50	144	11	67	143	102	0	71	65	107	86	183	0	131	0	0	0	16	0
EIF4EBP2	246	0	255	0	182	96	59	335	151	8	380	379	187	127	338	156	28	38	0	43	151	100	84	211	158	546	342	410	45	0	41	265	355	101	0	258	381	560	230	106	412	0	171	0	100	359	344	115	72	26	300	14	21	0	139	80	247	49	27	72	810	53	274	482	296	0	422	82	204	247	58	2	155	0	0	0	64	0
EXOSC1	297	0	82	0	82	95	28	236	128	17	56	305	277	130	143	324	57	57	0	26	29	47	114	5	60	265	91	383	0	0	24	170	497	26	0	169	226	621	220	178	336	0	106	0	74	114	546	35	30	22	231	0	13	14	103	17	171	22	20	157	450	65	540	154	140	31	165	67	162	64	23	0	121	1	0	0	0	0
EXOSC5	668	0	226	0	129	95	83	1376	187	62	695	606	519	362	647	476	0	229	0	302	181	70	283	34	7	771	225	464	23	0	95	160	832	293	20	239	832	1109	286	436	460	0	377	0	398	396	665	138	57	108	337	0	21	1	254	154	332	109	46	201	1056	153	679	910	122	81	750	123	456	267	264	11	148	0	0	0	84	0
